# phase src dst weight
8 7 9 30.75000000
8 7 13 30.75000000
8 8 8 0.60000000
8 9 9 0.60000000
8 10 10 0.60000000
8 11 11 0.60000000
8 12 12 0.60000000
8 13 13 0.60000000
8 14 14 0.60000000
8 15 15 0.60000000
8 56 2 30.75000000
8 56 6 30.75000000
8 56 10 30.75000000
8 56 14 30.75000000
8 63 3 30.75000000
8 63 7 30.75000000
8 63 11 30.75000000
8 63 15 30.75000000
9 0 48 30.75000000
9 0 52 30.75000000
9 0 56 30.75000000
9 0 60 30.75000000
9 7 49 30.75000000
9 7 53 30.75000000
9 7 57 30.75000000
9 7 61 30.75000000
9 48 48 0.60000000
9 49 49 0.60000000
9 50 50 0.60000000
9 51 51 0.60000000
9 52 52 0.60000000
9 53 53 0.60000000
9 54 54 0.60000000
9 55 55 0.60000000
9 56 50 30.75000000
9 56 54 30.75000000
9 56 56 0.60000000
9 56 58 30.75000000
9 56 62 30.75000000
9 57 57 0.60000000
9 58 58 0.60000000
9 59 59 0.60000000
9 60 60 0.60000000
9 61 61 0.60000000
9 62 62 0.60000000
9 63 51 30.75000000
9 63 55 30.75000000
9 63 59 30.75000000
9 63 63 31.35000000
10 0 32 30.75000000
10 0 36 30.75000000
10 0 40 30.75000000
10 0 44 30.75000000
10 7 33 30.75000000
10 7 37 30.75000000
10 7 41 30.75000000
10 7 45 30.75000000
10 32 32 0.60000000
10 33 33 0.60000000
10 34 34 0.60000000
10 35 35 0.60000000
10 36 36 0.60000000
10 37 37 0.60000000
10 38 38 0.60000000
10 39 39 0.60000000
10 40 40 0.60000000
10 41 41 0.60000000
10 42 42 0.60000000
10 43 43 0.60000000
10 44 44 0.60000000
10 45 45 0.60000000
10 46 46 0.60000000
10 47 47 0.60000000
10 56 34 30.75000000
10 56 38 30.75000000
10 56 42 30.75000000
10 56 46 30.75000000
10 63 35 30.75000000
10 63 39 30.75000000
10 63 43 30.75000000
10 63 47 30.75000000
11 0 16 30.75000000
11 0 20 30.75000000
11 0 24 30.75000000
11 0 28 30.75000000
11 7 17 30.75000000
11 7 21 30.75000000
11 7 25 30.75000000
11 7 29 30.75000000
11 16 16 0.60000000
11 17 17 0.60000000
11 18 18 0.60000000
11 19 19 0.60000000
11 20 20 0.60000000
11 21 21 0.60000000
11 22 22 0.60000000
11 23 23 0.60000000
11 24 24 0.60000000
11 25 25 0.60000000
11 26 26 0.60000000
11 27 27 0.60000000
11 28 28 0.60000000
11 29 29 0.60000000
11 30 30 0.60000000
11 31 31 0.60000000
11 56 18 30.75000000
11 56 22 30.75000000
11 56 26 30.75000000
11 56 30 30.75000000
11 63 19 30.75000000
11 63 23 30.75000000
11 63 27 30.75000000
11 63 31 30.75000000
12 0 0 31.35000000
12 0 4 30.75000000
12 0 8 30.75000000
12 0 12 30.75000000
12 1 1 0.60000000
12 2 2 0.60000000
12 3 3 0.60000000
12 4 4 0.60000000
12 5 5 0.60000000
12 6 6 0.60000000
12 7 1 30.75000000
12 7 5 30.75000000
12 7 7 0.60000000
12 7 9 30.75000000
12 7 13 30.75000000
12 8 8 0.60000000
12 9 9 0.60000000
12 10 10 0.60000000
12 11 11 0.60000000
12 12 12 0.60000000
12 13 13 0.60000000
12 14 14 0.60000000
12 15 15 0.60000000
12 56 2 30.75000000
12 56 6 30.75000000
12 56 10 30.75000000
12 56 14 30.75000000
12 63 3 30.75000000
12 63 7 30.75000000
12 63 11 30.75000000
12 63 15 30.75000000
13 0 48 30.75000000
13 0 52 30.75000000
13 0 56 30.75000000
13 0 60 30.75000000
13 7 49 30.75000000
13 7 53 30.75000000
13 7 57 30.75000000
13 7 61 30.75000000
13 48 48 0.60000000
13 49 49 0.60000000
13 50 50 0.60000000
13 51 51 0.60000000
13 52 52 0.60000000
13 53 53 0.60000000
13 54 54 0.60000000
13 55 55 0.60000000
13 56 50 30.75000000
13 56 54 30.75000000
13 56 56 0.60000000
13 56 58 30.75000000
13 56 62 30.75000000
13 57 57 0.60000000
13 58 58 0.60000000
13 59 59 0.60000000
13 60 60 0.60000000
13 61 61 0.60000000
13 62 62 0.60000000
13 63 51 30.75000000
13 63 55 30.75000000
13 63 59 30.75000000
13 63 63 31.35000000
14 0 32 30.75000000
14 0 36 30.75000000
14 0 40 30.75000000
14 0 44 30.75000000
14 7 33 30.75000000
14 7 37 30.75000000
14 7 41 30.75000000
