topology,injection_rate,packet_size,vc_buf_size,routing_function,trace_file,phase_cycles,num_runs,num_metric_ok,num_exit_code_zero,packet_latency_avg_mean,packet_latency_avg_std,accepted_flit_rate_avg_mean,accepted_flit_rate_avg_std,hops_avg_mean,hops_avg_std
flatfly,0.006,4,default,default,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/traces/lenet_trace.txt,"80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80",5,5,0,29.034280000000003,1.9677371450475794,0.02412266,0.00022550425273151685,2.393574,0.012900559290201452
mesh,0.006,4,default,default,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/traces/lenet_trace.txt,"80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80",5,5,0,41.428340000000006,2.1101586061241946,0.02404456,0.00022003361788599471,6.033672,0.07314530483906666
torus,0.006,4,default,default,/home/amirthalingam/edge_cloud_ml/dnn-noc-sim/results/traces/lenet_trace.txt,"80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80",5,5,0,41.29252,3.2457582799709526,0.02423166,0.0003472047565918413,4.597983999999999,0.03679616868642717
